code,ticker,name,watch,exit,diagnosis_date,memo
6963,6963.T,ローム,4600,4500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6623,6623.N,愛知電機,9000,8750,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
8795,8795.T, T&Dホールディングス,3900,3650,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
1926,1926.T,ライト工業,3700,3500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
7532,7532.T,パン・パシフィック・インターナショナルHD,850,820,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
1414,1414.T,ショーボンドホールディングス,1260,1280,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
8354,8354.T, ふくおかフィナンシャルグループ,6800,6700,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6866,6866.T, HIOKI,10800,10700,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
2002,2002.T,日清製粉グループ本社,1980,1940,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6309,6309.T,巴工業,1800,1650,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
4887,4887.T,サワイグループホールディングス,1620,1600,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6627,6627.T,テラプローブ,9000,8750,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
5612,5612.T,日本鋳鉄管,1500,1480,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
4911,4911.T,資生堂,2800,2500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
8316,8316.T,三井住友フィナンシャルグループ,6500,6350,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
3941,3941.T,レンゴー,1450,1400,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6457,6457.T,グローリー,4200,4000,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6310,6310.T,井関農機,1700,1650,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
7747,7747.T,朝日インテック,3450,3350,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
9616,9616.T,共立メンテナンス,3000,2900,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
5262,5262.T,日本ヒューム,1050,1000,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
4975,4975.T, JCU,5750,5500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
9793,9793.T,ダイセキ,3750,3700,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6849,6849.T,日本光電,1550,1500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
1376,1376.T,カネコ種苗,1520,1500,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
8035,8035.T,東京エレクトロン,52500,50000,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6857,6857.T,アドバンテスト,21000,19000,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
6723,6723.T,ルネサス,3600,3300,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
8593,8593.T,三菱HCキャピタル,1260,1290,2026/08/04,暫定値です。実際の診断の様子見／撤退ラインに書き換えてください
